Sample,X,Y,Z
104,0.023,-0.246,0.938
105,-0.035,-0.203,1.023
106,-0.023,-0.105,0.980
107,0.055,-0.027,0.895
108,0.117,0.016,0.902
109,0.059,0.086,1.035
110,-0.035,0.129,1.090
111,-0.035,0.023,1.090
112,-0.023,-0.094,1.047
113,-0.070,-0.105,0.980
114,-0.070,-0.098,0.953
115,-0.008,-0.105,0.945
116,0.082,-0.102,0.957
117,0.090,-0.109,0.988
118,0.039,-0.199,0.973
119,-0.012,-0.242,0.914
120,-0.078,-0.141,0.867
121,0.023,-0.020,0.992
122,0.160,-0.020,1.000
123,0.234,-0.016,1.102
124,0.066,-0.031,1.133
125,-0.113,-0.098,1.141
126,-0.191,-0.098,0.957
127,-0.145,-0.059,0.863
128,0.051,-0.066,0.930
129,0.152,-0.078,1.094
130,0.039,-0.031,1.176
131,-0.109,0.082,1.012
132,-0.086,0.051,0.762
133,0.090,0.008,0.809
134,0.180,-0.039,1.145
135,0.113,-0.105,1.238
136,-0.059,-0.188,1.098
137,-0.168,-0.238,0.914
138,-0.137,-0.168,0.605
139,0.125,-0.180,0.680
140,0.246,-0.312,1.133
141,0.059,-0.129,1.188
142,-0.160,0.117,0.793
143,0.000,0.125,0.844
144,0.301,-0.137,1.102
145,0.266,-0.223,1.258
146,-0.320,-0.016,1.234
147,-0.359,-0.125,0.918
148,-0.094,-0.148,0.496
149,0.297,-0.008,0.852
150,0.156,0.086,1.312
151,0.016,0.188,1.242
152,-0.070,0.184,0.883
153,0.059,-0.012,1.000
154,0.227,-0.422,1.332
155,-0.195,-0.281,1.102
156,-0.465,-0.207,0.797
157,-0.078,-0.348,0.461
158,0.348,-0.094,0.707
159,0.281,0.148,1.473
160,0.102,0.219,1.469
161,0.133,-0.289,0.605
162,-0.082,-0.367,0.578
163,-0.250,-0.246,1.293
164,-0.234,-0.102,1.328
165,0.066,-0.160,0.949
166,0.293,-0.035,0.617
167,0.195,0.293,0.719
168,-0.004,0.402,1.457
169,0.059,0.020,1.418
170,0.047,-0.344,0.758
171,-0.258,-0.262,0.734
172,-0.457,-0.148,1.078
173,-0.008,-0.059,0.988
174,0.297,-0.016,0.754
175,0.242,0.184,1.195
176,0.152,0.016,1.238
177,0.027,-0.172,0.859
178,-0.195,-0.133,0.770
179,-0.145,-0.188,0.922
180,0.070,-0.176,1.152
181,0.086,0.070,1.066
182,0.215,-0.031,1.012
183,0.227,-0.289,1.102
184,-0.148,-0.129,0.953
185,-0.242,-0.098,0.934
186,-0.039,-0.199,0.645
187,0.117,-0.051,0.824
188,0.051,0.082,1.391
189,0.012,-0.125,1.438
190,-0.066,-0.320,0.891
191,-0.262,-0.219,0.754
192,-0.238,0.039,0.816
193,0.211,0.199,0.895
194,0.570,0.047,1.316
195,0.402,-0.082,1.441
196,-0.184,-0.164,0.855
197,-0.500,-0.266,0.547
198,-0.422,-0.223,0.543
199,0.109,-0.035,0.824
200,0.480,-0.152,1.551
201,0.383,-0.062,1.422
202,-0.062,0.039,0.723
203,-0.266,0.039,0.609
204,-0.086,0.137,0.684
205,0.238,0.059,1.090
206,0.273,-0.152,1.574
207,0.102,-0.383,1.188
208,-0.488,-0.312,0.973
209,-0.719,0.094,0.664
210,-0.031,0.262,0.383
211,0.711,0.082,1.125
212,0.867,-0.246,1.910
213,-0.031,-0.035,1.660
214,-0.914,0.164,0.469
215,-0.418,-0.195,-0.219
216,0.387,-0.461,0.574
217,0.559,-0.520,1.930
218,-0.043,0.020,1.707
219,-0.410,-0.176,0.848
220,-0.184,0.133,0.070
221,0.414,0.066,0.578
222,0.582,-0.074,1.664
223,0.297,-0.582,1.766
224,-0.648,-0.102,0.445
225,-0.871,0.324,0.539
226,0.172,-0.109,0.609
227,1.000,-0.297,1.285
228,0.293,-0.172,1.816
229,-0.680,0.270,0.992
230,-0.594,0.363,-0.004
231,0.379,0.008,0.891
232,0.688,-0.320,1.742
233,-0.066,-0.098,1.312
234,-0.617,0.145,0.094
235,-0.289,-0.043,0.586
236,0.590,-0.090,1.344
237,0.598,-0.230,1.992
238,-0.438,0.043,1.324
239,-0.285,-0.250,-0.379
240,0.043,-0.297,-0.461
241,0.418,-0.055,1.734
242,0.281,-0.426,1.992
243,-0.625,0.133,0.656
244,-0.180,-0.609,-0.449
245,0.098,-0.305,-0.164
246,0.637,-0.160,1.730
247,-0.047,-0.066,1.988
248,-0.789,0.605,0.688
249,0.203,-0.223,-0.672
250,0.668,-0.332,0.250
251,0.348,0.055,1.992
252,-0.699,0.703,1.875
253,-0.648,0.227,0.305
254,0.398,-0.688,0.043
255,0.566,-0.340,0.871
256,-0.285,0.797,1.957
257,-0.324,0.562,1.289
258,0.363,-0.426,0.355
259,0.570,-0.426,0.367
260,-0.266,0.059,1.371
261,-0.508,-0.023,1.641
262,0.020,-0.746,0.461
263,0.152,-0.836,0.371
264,-0.316,0.023,1.129
265,0.160,-0.043,1.363
266,0.422,-0.098,0.875
267,0.395,-0.191,1.098
268,-0.188,0.086,1.035
269,-0.168,0.016,1.055
270,0.027,-0.410,0.777
271,0.070,-0.301,0.992
272,-0.402,0.359,1.172
273,-0.316,0.430,1.422
274,0.254,-0.148,0.855
275,0.246,0.125,0.598
276,-0.301,0.531,0.828
277,0.012,0.238,1.562
278,0.410,-0.383,0.973
279,0.176,-0.086,0.414
280,-0.289,0.070,0.914
281,0.020,-0.305,1.055
282,0.289,-0.621,0.883
283,-0.164,-0.152,0.879
284,-0.125,-0.246,1.141
285,0.211,-0.684,1.008
286,0.129,-0.379,1.043
287,-0.141,-0.098,0.988
288,-0.059,-0.094,0.941
289,0.348,-0.312,0.859
290,0.027,0.281,0.992
291,-0.203,0.273,1.309
292,-0.023,-0.023,1.234
293,-0.133,-0.012,0.867
294,-0.258,0.188,1.105
295,-0.176,0.254,1.184
296,0.137,-0.094,1.062
297,0.168,0.285,0.750
298,-0.027,0.316,0.812
299,0.453,-0.258,1.098
300,0.176,-0.246,0.809
301,-0.176,0.133,0.719
302,-0.004,-0.387,1.191
303,0.129,-0.625,0.949
304,-0.051,-0.297,0.910
305,-0.207,-0.258,0.918
306,0.113,-0.559,0.941
307,0.105,-0.219,0.914
308,-0.062,0.164,0.973
309,0.191,0.035,1.105
310,0.191,0.043,0.945
311,0.020,0.188,1.199
312,-0.195,0.160,1.391
313,-0.230,-0.160,0.949
314,-0.172,-0.055,1.059
315,-0.312,0.199,1.035
316,0.070,0.055,0.938
317,0.336,0.113,0.961
318,0.129,0.176,1.043
319,0.285,-0.012,1.258
320,0.098,-0.262,0.660
321,-0.039,-0.281,0.969
322,-0.086,-0.457,1.055
323,-0.199,-0.316,0.512
324,-0.160,-0.352,0.965
325,-0.008,-0.340,1.145
326,0.043,0.074,0.699
327,0.164,0.129,1.027
328,0.410,0.160,1.359
329,0.332,0.188,1.004
330,0.227,-0.051,1.094
331,-0.156,-0.270,1.188
332,-0.523,-0.254,0.676
333,-0.434,-0.414,0.738
334,-0.305,-0.258,1.020
335,-0.051,0.109,0.969
336,0.391,0.027,1.297
337,0.406,0.078,1.516
338,0.035,0.008,0.551
339,-0.039,-0.016,0.789
340,-0.359,-0.039,0.855
341,0.043,0.070,0.996
342,0.266,-0.270,1.027
343,0.246,0.203,1.137
344,-0.016,0.160,1.035
345,0.074,-0.188,0.969
346,-0.051,-0.215,0.949
347,-0.156,-0.082,0.715
348,0.043,-0.504,0.980
349,0.027,-0.465,1.008
350,-0.105,-0.105,0.961
351,-0.074,-0.098,0.898
352,0.129,0.066,1.043
353,0.316,0.039,1.191
354,0.086,-0.109,1.332
355,-0.238,0.012,0.934
356,-0.445,0.129,0.637
357,0.059,-0.082,0.965
358,0.293,0.078,1.293
359,0.105,0.168,1.113
360,0.098,0.070,1.328
361,-0.078,0.004,0.570
362,-0.043,-0.086,0.793
363,-0.125,-0.027,0.828
364,0.004,-0.082,1.168
365,0.066,-0.109,0.777
366,0.062,-0.004,1.211
367,-0.023,0.215,1.070
368,0.176,0.215,1.023
369,0.238,0.094,0.801
370,0.156,-0.008,1.117
371,-0.004,0.035,0.973
372,-0.332,0.254,1.074
373,-0.039,-0.035,1.082
374,-0.023,-0.172,0.910
375,-0.023,-0.184,0.953
376,-0.117,-0.219,1.039
377,-0.188,-0.078,0.727
378,0.031,0.102,1.043
379,0.348,0.023,1.176
380,0.215,0.051,0.957
381,0.168,-0.113,0.902
382,-0.199,-0.109,1.094
383,-0.316,0.227,0.887
384,-0.031,0.016,0.820
385,0.242,0.164,1.094
386,0.379,0.141,1.051
387,0.141,0.180,0.902
388,-0.027,0.199,1.199
389,-0.160,0.086,1.047
390,-0.023,-0.160,0.676
391,-0.113,-0.152,0.762
392,-0.160,-0.004,1.008
393,0.082,0.012,1.340
394,0.094,0.234,1.215
395,0.180,0.020,1.148
396,-0.016,0.008,0.789
397,0.027,-0.227,0.871
398,-0.223,-0.113,1.027
399,-0.195,-0.039,0.996
400,0.031,0.195,0.883
401,0.320,-0.023,1.230
402,0.285,0.070,0.914
403,0.141,-0.160,1.082
404,-0.262,-0.094,0.871
405,-0.203,-0.105,0.793
406,-0.055,-0.039,0.660
407,0.117,-0.031,0.957
408,0.176,0.012,1.195
409,-0.070,0.090,1.266
410,-0.070,0.242,1.164
411,-0.105,0.258,0.793
412,0.246,-0.047,0.953
413,0.043,0.156,0.945
414,-0.133,0.098,1.324
415,-0.012,-0.043,1.156
416,0.000,0.055,0.824
417,0.043,0.043,0.750
418,0.086,-0.129,1.062
419,0.059,-0.273,1.141
420,-0.004,-0.320,0.910
421,-0.277,0.027,0.738
422,-0.066,0.023,1.016
423,0.258,-0.027,0.777
424,0.219,0.105,0.926
425,0.223,0.000,1.348
426,-0.062,0.117,1.133
427,-0.160,0.297,1.180
428,-0.113,0.145,0.742
429,0.113,0.023,0.770
430,0.156,-0.070,1.105
431,0.062,-0.086,1.223
432,-0.367,0.195,0.898
433,-0.117,0.008,0.883
434,0.121,-0.109,0.727
435,0.121,-0.020,0.918
436,-0.012,-0.113,1.266
437,-0.031,-0.078,1.168
438,-0.262,0.184,1.043
439,0.066,0.176,0.785
440,0.410,0.051,0.730
441,0.367,-0.016,1.348
442,-0.031,-0.078,1.332
443,-0.301,0.027,0.801
444,-0.270,-0.211,0.605
445,0.062,-0.340,0.719
446,0.035,-0.008,0.875
447,0.016,0.062,1.367
448,0.129,-0.180,1.211
449,0.016,0.258,0.867
450,-0.191,0.199,0.879
451,-0.051,0.242,0.848
452,0.383,-0.113,1.004
453,0.281,0.074,1.273
454,-0.309,0.426,1.262
455,-0.172,0.020,1.234
456,-0.031,0.023,0.445
457,0.180,-0.121,0.645
458,0.078,-0.188,1.426
459,-0.098,-0.301,1.180
460,-0.215,0.117,0.570
461,0.062,-0.133,0.836
462,0.277,-0.055,0.875
463,0.211,0.148,1.383
464,-0.004,0.027,1.367
465,-0.008,-0.133,0.715
466,-0.336,0.125,0.754
467,-0.121,0.297,1.020
468,0.223,0.203,1.152
469,0.559,-0.152,1.230
470,0.113,0.031,1.168
471,-0.512,0.266,0.879
472,-0.250,-0.254,0.707
473,-0.055,-0.312,0.648
474,-0.047,-0.176,0.895
475,0.105,0.008,1.266
476,0.082,0.145,0.906
477,0.141,0.352,1.297
478,0.312,0.074,1.141
479,0.191,0.082,0.664
480,0.004,-0.074,1.035
481,-0.172,-0.180,1.070
482,-0.199,-0.012,0.949
483,-0.125,-0.004,0.898
484,0.047,-0.098,0.820
485,0.168,-0.320,1.062
486,-0.031,0.070,0.992
487,-0.211,0.117,1.125
488,0.078,-0.059,1.074
489,0.324,-0.121,0.965
490,0.125,0.453,0.645
491,0.199,-0.160,1.492
492,-0.035,-0.055,1.281
493,-0.512,0.227,0.703
494,-0.242,0.109,0.953
495,0.172,-0.070,0.926
496,0.246,0.027,1.035
497,0.156,0.156,1.367
498,-0.078,0.117,0.938
499,0.027,-0.035,0.656
500,0.090,-0.086,0.969
501,0.008,-0.039,0.645
502,0.105,-0.312,1.066
503,-0.180,-0.293,0.980
504,-0.246,0.219,1.094
505,-0.074,0.281,0.980
506,0.496,-0.074,1.105
507,0.395,0.129,1.344
508,-0.043,0.109,0.992
509,-0.211,0.078,0.930
510,-0.230,-0.148,0.848
511,-0.164,0.055,0.895
512,-0.039,-0.188,0.938
513,0.078,-0.109,0.934
514,-0.066,-0.008,1.129
515,-0.102,0.355,1.027
516,0.234,0.000,1.102
517,0.258,0.008,0.672
518,0.172,-0.004,1.105
519,0.039,-0.023,1.055
520,-0.203,0.062,0.863
521,-0.191,-0.062,1.031
522,0.004,-0.020,0.934
523,-0.004,0.031,0.824
524,0.086,0.016,1.238
525,0.148,0.066,1.152
526,0.203,0.121,0.941
527,0.113,0.016,0.801
528,0.020,-0.195,0.934
529,-0.152,-0.223,0.844
530,-0.246,-0.348,1.121
531,-0.312,0.160,0.914
532,0.016,0.004,1.074
533,0.195,0.254,0.930
534,0.359,0.203,1.383
535,0.121,0.168,1.109
536,0.020,0.078,1.020
537,-0.195,0.188,0.973
538,-0.074,-0.078,0.742
539,0.016,-0.121,0.840
540,-0.016,-0.113,0.961
541,-0.020,-0.094,1.191
542,-0.086,0.266,0.812
543,0.172,0.062,1.059
544,0.383,-0.074,0.949
545,0.207,-0.184,1.008
546,-0.199,-0.066,1.051
547,-0.344,-0.199,1.086
548,-0.293,0.070,0.758
549,0.074,0.148,0.691
550,0.297,0.219,1.086
551,0.395,-0.121,1.613
552,0.004,0.156,1.137
553,-0.254,0.246,0.625
554,0.008,-0.066,0.699
555,0.250,-0.320,0.879
556,-0.027,-0.047,1.215
557,-0.305,-0.098,1.039
558,-0.055,-0.336,0.945
559,-0.215,-0.141,0.656
560,-0.008,0.449,0.867
561,0.078,0.367,0.957
562,0.785,-0.230,1.539
563,0.238,-0.031,1.441
564,-0.414,0.641,0.801
565,-0.117,-0.004,0.754
566,0.262,-0.379,0.867
567,0.059,-0.070,0.855
568,-0.289,0.008,1.105
569,-0.211,-0.270,1.238
570,0.000,-0.152,0.957
571,-0.047,0.168,0.586
572,0.191,0.062,1.152
573,0.359,-0.141,1.152
574,0.129,-0.023,1.215
575,-0.324,0.445,1.105
576,-0.184,0.094,0.594
577,0.121,0.000,0.668
578,0.250,0.105,1.188
579,0.023,-0.012,1.293
580,-0.109,-0.023,1.359
581,-0.223,-0.055,1.152
582,-0.156,0.090,0.457
583,0.238,-0.102,0.516
584,0.305,-0.184,1.203
585,0.164,-0.219,1.414
586,-0.426,0.395,0.746
587,-0.133,0.020,0.570
588,0.340,-0.004,0.914
589,0.262,0.102,1.348
590,0.109,0.070,1.363
591,-0.109,-0.105,1.168
592,-0.344,-0.043,0.754
593,-0.113,0.047,0.613
594,0.023,0.094,0.656
595,0.406,-0.352,1.395
596,0.062,-0.023,1.223
597,-0.406,0.348,0.906
598,-0.027,0.031,0.852
599,0.340,-0.082,0.824
600,0.277,0.016,1.156
601,-0.156,-0.051,1.266
602,-0.141,-0.133,0.613
603,-0.246,-0.090,0.887
604,-0.098,0.180,1.191
605,0.160,0.145,0.824
606,0.383,-0.309,0.984
607,0.113,0.105,1.105
608,-0.328,0.309,1.047
609,-0.062,-0.027,1.211
610,0.270,-0.207,0.879
611,0.070,0.148,0.625
612,0.188,-0.070,1.434
613,-0.145,-0.121,0.977
614,-0.242,0.000,1.031
615,-0.238,0.121,0.992
616,-0.023,0.066,0.566
617,0.398,-0.145,1.062
618,0.191,0.148,1.188
619,0.031,0.277,1.234
620,-0.172,0.262,1.105
621,0.035,-0.145,0.992
622,0.113,-0.031,0.691
623,-0.062,-0.281,0.965
624,-0.180,-0.023,0.953
625,-0.129,-0.047,1.066
626,0.039,0.113,1.039
627,0.285,-0.082,0.703
628,0.188,-0.023,1.016
629,0.109,-0.020,1.344
630,-0.316,0.328,0.766
631,0.012,0.008,1.035
632,0.168,0.129,1.117
633,0.211,0.039,0.828
634,0.168,-0.059,1.277
635,-0.336,0.039,1.031
636,-0.270,-0.070,1.035
637,-0.102,-0.145,0.828
638,0.020,-0.078,0.590
639,0.293,-0.242,1.199
640,0.168,-0.094,1.031
641,-0.074,0.293,0.887
642,0.004,0.109,0.984
643,0.160,0.113,0.898
644,0.195,-0.082,1.121
645,-0.078,-0.227,1.168
646,-0.395,0.070,0.832
647,-0.371,0.039,0.738
648,-0.055,0.234,1.215
649,0.570,-0.047,0.988
650,0.504,0.000,1.293
651,0.082,0.289,1.094
652,-0.133,0.062,0.918
653,-0.176,-0.234,0.488
654,-0.023,-0.336,0.840
655,-0.344,-0.016,1.113
656,-0.078,-0.180,1.215
657,0.043,0.117,0.922
658,0.090,0.355,1.168
659,0.305,0.219,1.367
660,0.230,0.176,0.805
661,0.117,0.027,0.902
662,-0.055,-0.113,0.859
663,-0.340,0.062,0.949
664,-0.168,-0.074,0.938
665,-0.094,-0.133,0.953
666,0.207,-0.090,0.848
667,0.227,-0.059,1.129
668,-0.051,0.234,1.219
669,0.055,0.074,1.086
670,0.000,0.059,0.660
671,0.129,0.070,0.918
672,0.090,-0.039,1.246
673,0.086,-0.031,1.219
674,-0.160,0.152,0.941
675,-0.082,0.094,0.918
676,-0.012,-0.184,0.805
677,-0.008,-0.180,1.172
678,-0.207,-0.102,0.949
679,-0.184,-0.086,0.859
680,0.086,-0.016,0.840
681,0.250,0.074,0.852
682,0.254,-0.082,1.031
683,-0.113,0.027,1.008
684,-0.266,0.148,1.047
685,0.027,0.172,1.023
686,0.230,0.070,0.883
687,0.258,0.355,0.938
688,0.207,0.156,1.613
689,0.000,-0.219,1.117
690,-0.203,-0.184,0.668
691,-0.480,0.078,0.613
692,0.059,-0.199,0.945
693,0.188,-0.129,0.938
694,0.195,-0.031,1.301
695,0.020,-0.086,1.348
696,-0.219,0.238,0.840
697,-0.016,0.117,0.715
698,0.133,0.094,0.902
699,0.242,-0.273,1.258
700,-0.055,-0.125,1.363
701,-0.445,0.277,0.773
702,-0.023,0.105,0.672
703,0.531,-0.094,0.926
704,0.133,0.266,1.172
705,0.109,0.082,1.363
706,-0.059,-0.266,0.750
707,-0.250,0.039,0.953
708,-0.246,0.234,0.941
709,0.285,-0.172,0.887
710,0.352,-0.262,0.867
711,-0.062,0.094,1.406
712,-0.504,0.414,0.871
713,0.051,-0.090,1.008
714,0.246,-0.109,0.754
715,0.020,0.250,0.848
716,0.184,-0.082,1.137
717,0.066,-0.164,1.254
718,-0.242,-0.340,1.102
719,-0.434,0.281,0.520
720,-0.090,0.062,0.480
721,0.676,-0.332,1.266
722,0.531,-0.191,1.699
723,-0.383,0.668,0.973
724,-0.051,-0.121,1.207
725,-0.020,-0.168,0.496
726,0.086,0.027,0.656
727,-0.172,0.012,1.316
728,-0.043,-0.137,1.191
729,-0.039,0.234,0.762
730,0.000,0.262,0.977
731,0.270,0.277,1.016
732,0.355,-0.023,1.070
733,0.102,-0.109,1.312
734,-0.297,-0.148,0.816
735,-0.363,-0.199,0.672
736,-0.059,-0.277,0.953
737,-0.102,0.184,0.910
738,0.281,-0.156,1.078
739,0.359,0.055,1.055
740,-0.039,0.547,1.312
741,0.031,0.246,1.184
742,0.035,0.059,0.523
743,-0.055,-0.004,0.941
744,-0.109,-0.043,1.059
745,-0.238,0.129,1.027
746,-0.109,0.359,1.023
747,0.406,0.168,0.938
748,0.285,0.316,0.883
749,0.195,0.012,1.242
750,-0.102,-0.121,1.109
751,-0.477,0.105,0.938
752,-0.371,-0.043,0.754
753,0.055,-0.062,0.672
754,0.301,0.145,1.129
755,0.152,0.359,1.219
756,0.234,0.387,1.203
757,0.102,0.285,1.020
758,0.094,0.074,1.121
759,-0.133,0.027,0.562
760,-0.008,-0.285,0.750
761,-0.172,-0.246,1.219
762,-0.383,0.078,1.004
763,-0.047,-0.070,1.016
764,0.223,0.027,0.887
765,0.164,0.316,0.777
766,0.344,0.281,1.316
767,0.148,0.203,1.371
768,-0.223,0.402,0.961
769,-0.078,0.047,0.770
770,-0.090,-0.031,0.941
771,-0.230,0.254,0.867
772,-0.012,0.246,1.047
773,0.160,0.172,1.281
774,0.051,0.207,1.051
775,0.254,0.012,0.734
776,-0.012,-0.039,0.840
777,-0.012,-0.156,1.000
778,-0.047,-0.148,1.043
779,-0.281,0.062,1.125
780,0.148,-0.203,1.090
781,0.109,0.066,0.859
782,-0.035,0.422,0.941
783,0.230,0.121,1.301
784,0.082,0.270,0.824
785,-0.020,0.203,0.910
786,-0.098,0.016,1.258
787,-0.250,0.309,0.691
788,-0.070,0.281,0.789
789,0.219,0.277,1.199
790,0.301,0.305,1.129
791,0.246,0.242,1.133
792,-0.070,0.043,1.137
793,-0.168,-0.312,0.949
794,-0.406,-0.191,0.727
795,-0.336,-0.168,0.809
796,0.191,-0.430,1.027
797,0.117,0.086,0.887
798,0.070,0.512,0.930
799,0.258,0.348,1.406
800,0.570,-0.012,0.980
801,0.133,0.305,0.727
802,-0.387,0.457,1.109
803,-0.062,-0.246,1.012
804,-0.184,-0.109,0.801
805,-0.402,0.246,0.844
806,-0.062,0.172,1.207
807,0.309,0.004,1.062
808,0.168,0.469,1.160
809,0.152,0.359,1.137
810,0.355,-0.242,0.926
811,-0.094,-0.047,0.938
812,-0.543,0.195,1.031
813,-0.023,-0.289,0.828
814,0.176,-0.422,0.805
815,-0.172,0.426,0.996
816,-0.012,0.422,1.062
817,0.430,0.023,1.035
818,0.316,0.117,1.012
819,-0.277,0.531,0.785
820,-0.008,-0.023,1.082
821,0.035,-0.234,1.035
822,-0.246,0.234,0.953
823,-0.168,0.480,0.879
824,0.305,0.016,1.051
825,0.352,-0.016,1.219
826,-0.234,0.418,1.082
827,-0.207,0.160,0.945
828,0.211,-0.508,1.027
829,-0.008,-0.363,0.984
830,-0.328,0.223,0.656
831,0.035,0.059,0.746
832,0.438,-0.156,1.137
833,0.141,0.227,1.238
834,-0.281,0.551,0.938
835,0.055,0.105,0.871
836,0.242,-0.238,1.012
837,-0.117,0.184,1.113
838,-0.328,0.551,0.980
839,0.113,0.285,0.926
840,0.457,0.066,1.059
841,0.180,0.312,1.188
842,-0.277,0.492,0.871
843,-0.105,0.051,0.945
844,0.055,-0.461,0.969
845,-0.262,-0.125,1.102
846,-0.445,0.152,0.816
847,0.117,-0.199,0.941
848,0.426,-0.117,0.988
849,0.234,0.238,1.027
850,0.012,0.188,1.137
851,0.223,-0.023,0.891
852,0.098,-0.117,0.871
853,-0.137,-0.023,1.125
854,-0.266,-0.066,1.168
855,-0.219,0.074,0.652
856,0.043,0.219,0.852
857,0.199,0.406,1.086
858,0.215,0.461,1.336
859,0.020,0.480,1.055
860,0.043,0.398,0.863
861,0.023,0.188,0.898
862,-0.078,0.141,1.098
863,-0.176,0.055,1.191
864,-0.145,-0.008,0.621
865,0.086,0.035,0.723
866,0.137,-0.016,1.254
867,0.094,0.000,1.457
868,0.027,-0.141,0.875
869,0.047,-0.215,0.605
870,-0.016,-0.137,0.918
871,0.043,-0.102,1.109
872,0.020,-0.242,1.250
873,-0.074,-0.137,0.723
874,-0.082,0.094,0.594
875,0.008,0.332,1.082
876,0.207,0.219,1.344
877,0.145,0.180,1.121
878,-0.160,0.379,0.680
879,-0.160,0.523,0.801
880,0.137,0.500,1.062
881,0.254,0.320,1.402
882,-0.008,0.328,1.230
883,-0.102,0.156,0.703
884,-0.070,0.156,0.793
885,-0.094,0.449,1.062
886,0.160,-0.012,1.301
887,0.062,-0.215,1.312
888,-0.086,-0.309,0.504
889,-0.188,-0.117,0.562
890,-0.031,0.109,1.062
891,0.285,-0.133,1.262
892,0.191,-0.398,1.363
893,-0.004,-0.422,0.613
894,-0.176,-0.191,0.449
895,-0.223,0.445,0.953
896,0.234,0.258,1.242
897,0.496,-0.133,1.570
898,0.090,-0.242,0.895
899,-0.480,0.359,0.473
900,-0.418,0.645,0.738
901,0.211,0.633,1.273
902,0.504,0.367,1.656
903,0.195,0.438,0.875
904,0.012,0.000,0.746
905,-0.391,0.152,0.922
906,-0.480,0.547,0.906
907,-0.082,0.414,1.039
908,0.625,-0.379,1.344
909,0.441,-0.297,0.922
910,-0.406,0.270,0.879
911,-0.344,0.137,1.270
912,0.090,-0.148,0.617
913,0.336,-0.246,0.770
914,0.156,-0.145,1.137
915,0.027,-0.199,0.875
916,-0.199,-0.125,1.277
917,-0.449,0.156,1.082
918,0.117,-0.082,0.430
919,0.422,-0.082,0.559
920,0.191,0.336,1.109
921,-0.109,0.555,1.684
922,-0.219,0.320,1.574
923,-0.082,0.051,0.688
924,0.055,0.035,0.340
925,0.191,0.113,0.781
926,0.039,0.418,1.438
927,-0.148,0.648,1.672
928,0.020,0.328,1.141
929,0.285,-0.230,0.598
930,0.020,-0.258,0.473
931,-0.297,0.000,0.906
932,-0.215,0.008,1.266
933,0.137,0.004,1.293
934,0.281,0.125,0.824
