Sample,X,Y,Z
0,-0.020,0.297,0.965
1,0.016,0.008,0.980
2,0.008,0.008,0.996
3,0.016,0.012,0.996
4,0.016,0.004,0.977
5,0.004,0.016,0.977
6,0.008,0.012,0.988
7,0.016,0.000,0.992
8,0.012,0.012,0.992
9,0.004,0.012,0.992
10,0.012,0.008,0.980
11,0.020,0.016,0.988
12,0.004,0.004,0.992
13,0.004,0.008,1.000
14,0.012,0.004,0.992
15,0.012,0.004,0.992
16,0.020,0.016,0.992
17,0.004,0.016,0.996
18,0.016,0.000,0.988
19,0.008,0.008,0.988
20,0.008,0.016,0.984
21,0.008,0.008,0.988
22,0.004,0.012,0.973
23,0.016,0.008,0.988
24,0.000,-0.012,1.039
25,-0.012,0.008,1.012
26,0.023,0.008,0.965
27,0.031,0.004,0.961
28,0.000,0.000,1.020
29,0.035,0.008,0.984
30,0.012,0.012,0.996
31,0.012,0.008,0.969
32,0.008,0.012,0.992
33,0.004,0.008,0.992
34,0.008,0.008,0.992
35,0.016,0.000,0.977
36,0.012,0.012,0.984
37,0.000,0.020,0.988
38,0.008,0.008,0.988
39,0.008,0.004,0.973
40,0.008,0.008,0.984
41,0.016,0.012,0.988
42,0.016,0.004,0.988
43,0.012,0.004,0.984
44,0.004,0.012,0.984
45,0.012,0.008,0.992
46,0.012,0.008,0.980
47,0.008,0.008,0.988
48,0.008,0.020,1.008
49,0.016,0.008,1.004
50,0.016,0.012,0.969
51,0.004,0.004,0.965
52,0.012,0.008,0.957
53,0.020,-0.004,1.047
54,0.012,0.012,0.992
55,0.012,0.008,0.988
56,0.023,0.008,0.984
57,0.004,0.016,0.984
58,0.004,0.020,0.996
59,0.020,0.020,0.980
60,0.023,-0.004,0.996
61,0.039,-0.066,1.039
62,0.062,-0.309,1.113
63,-0.082,-0.254,0.945
64,-0.199,-0.164,0.793
65,0.020,-0.207,0.832
66,0.266,-0.281,1.035
67,0.172,-0.195,1.059
68,-0.051,-0.137,1.090
69,-0.078,-0.242,0.875
70,0.016,-0.281,0.855
71,-0.008,-0.176,1.043
72,0.000,-0.051,1.102
73,0.039,-0.004,0.977
74,0.102,0.078,0.973
75,0.035,0.168,1.121
76,0.012,0.145,1.098
77,-0.016,-0.039,0.992
78,-0.086,-0.059,0.926
79,-0.145,0.008,0.996
80,-0.055,0.000,1.121
81,0.066,-0.078,1.090
82,0.098,-0.145,0.785
83,0.062,-0.137,0.773
84,0.016,-0.098,0.953
85,0.074,-0.148,1.047
86,0.109,-0.215,0.965
87,0.066,-0.246,0.879
88,0.000,-0.262,0.902
89,-0.059,-0.164,1.000
90,-0.023,-0.062,1.109
91,0.020,0.020,1.047
92,0.090,0.051,0.969
93,0.102,0.047,1.004
94,0.000,0.047,1.055
95,-0.102,0.004,1.055
96,-0.137,-0.086,1.070
97,-0.051,-0.133,0.938
98,-0.012,-0.172,0.820
99,0.027,-0.074,0.938
100,0.059,-0.012,1.117
101,0.078,-0.066,1.129
102,0.086,-0.129,0.941
103,0.066,-0.227,0.871
