Sample,X,Y,Z
0,0.023,0.270,0.953
1,0.008,0.004,0.988
2,0.012,0.012,0.988
3,0.016,0.008,0.980
4,0.012,0.008,0.977
5,0.012,0.004,0.988
6,0.004,0.012,0.980
7,0.012,0.004,0.996
8,0.023,0.008,0.980
9,0.008,0.012,0.988
10,0.004,0.008,0.988
11,0.012,0.008,0.988
12,0.016,0.004,0.988
13,0.004,0.012,0.984
14,0.012,0.012,0.980
15,0.016,0.008,0.984
16,0.008,0.008,0.996
17,0.012,0.008,0.980
18,0.012,0.004,0.977
19,0.000,0.008,0.992
20,0.020,0.008,0.988
21,0.008,0.008,0.980
22,0.012,0.008,1.000
23,0.012,0.008,0.977
24,0.012,0.020,1.000
25,0.016,0.004,1.004
26,0.000,0.016,0.938
27,0.004,0.008,0.973
28,0.035,0.008,0.965
29,-0.020,0.016,0.977
30,0.008,0.016,0.988
31,0.016,0.008,0.980
32,0.012,0.004,0.984
33,0.016,0.004,0.996
34,0.020,0.012,0.984
35,0.012,0.004,0.988
36,0.008,0.016,0.988
37,0.012,0.004,0.984
38,0.012,0.008,0.977
39,0.012,0.016,1.000
40,0.016,0.016,0.977
41,0.008,0.008,0.992
42,0.008,0.012,0.980
43,0.016,0.004,0.984
44,0.016,0.008,0.992
45,0.004,0.012,0.984
46,0.012,0.008,0.980
47,0.008,0.012,0.988
48,0.000,0.008,1.020
49,0.043,-0.008,0.961
50,0.031,0.008,1.004
51,0.000,0.012,0.996
52,0.016,0.000,0.973
53,0.004,0.012,0.984
54,0.008,0.012,0.988
55,0.004,0.008,0.992
56,0.016,0.008,0.984
57,0.012,0.008,0.984
58,0.012,0.008,0.980
59,0.016,0.004,0.992
60,0.012,0.008,0.988
61,0.012,0.008,0.992
62,0.012,0.008,0.977
63,0.016,0.004,0.980
64,0.008,0.012,0.980
65,0.008,0.012,0.984
66,0.016,0.000,0.992
67,0.012,0.004,0.996
68,0.004,0.012,1.004
69,0.023,0.008,0.992
70,0.023,0.000,0.973
71,-0.004,0.004,1.020
72,-0.012,0.027,0.961
73,0.059,-0.012,0.914
74,-0.008,0.023,1.008
75,0.000,0.016,0.980
76,0.109,-0.074,1.059
77,0.055,-0.094,1.078
78,-0.105,0.031,0.918
79,-0.004,0.031,0.938
80,0.090,-0.035,1.016
81,0.020,0.031,0.988
82,-0.023,0.098,1.062
83,0.027,0.070,0.930
84,0.078,-0.062,1.129
85,-0.012,0.078,0.957
86,-0.027,0.062,1.012
87,0.129,-0.289,0.992
88,0.043,-0.234,1.020
89,-0.250,0.043,0.785
90,-0.066,-0.031,0.910
91,0.230,-0.148,1.027
92,0.148,0.012,1.074
93,-0.074,0.148,1.145
94,-0.078,0.062,1.012
95,0.121,-0.062,0.938
96,-0.031,0.086,0.934
97,-0.113,0.184,0.914
98,0.090,0.055,0.918
99,0.176,0.086,1.094
100,-0.031,0.203,1.250
101,-0.098,0.074,0.965
102,-0.004,-0.168,0.852
103,-0.012,-0.137,0.926
104,-0.082,0.000,1.078
105,-0.027,0.047,1.066
106,0.113,-0.039,1.016
107,0.117,-0.086,0.910
108,-0.004,-0.102,0.973
109,-0.098,-0.086,1.004
110,-0.027,-0.082,1.031
111,0.012,-0.027,1.008
112,0.055,0.000,0.965
113,0.070,0.020,0.938
114,0.035,0.047,1.012
115,-0.031,0.105,1.000
116,-0.035,0.094,0.965
117,0.039,0.055,0.953
118,0.086,0.008,1.000
119,0.016,0.027,1.047
120,-0.016,0.086,1.059
121,-0.051,0.078,0.934
122,0.059,0.004,0.883
123,0.090,-0.043,0.930
124,-0.008,-0.016,1.008
125,0.000,-0.016,1.121
126,-0.027,-0.051,1.012
127,0.000,-0.086,0.941
128,0.016,-0.102,0.902
129,0.020,-0.055,0.965
130,0.023,-0.004,1.043
131,0.039,0.039,1.051
132,0.059,0.020,0.980
133,0.023,0.000,0.941
134,-0.023,0.012,0.949
135,0.000,0.051,1.027
136,0.012,0.082,1.062
137,0.027,0.105,1.020
138,0.035,0.094,0.918
139,0.039,0.043,0.930
140,0.039,-0.027,1.051
141,-0.023,-0.008,1.074
142,-0.059,0.023,0.980
143,0.031,-0.059,0.957
144,0.043,-0.090,0.957
145,0.012,-0.035,1.035
146,-0.039,-0.012,1.082
147,0.004,-0.059,1.012
148,0.039,-0.043,0.918
149,0.059,-0.031,1.012
150,0.027,-0.016,1.008
151,0.047,-0.004,1.012
152,0.012,0.059,1.035
153,-0.008,0.074,0.996
154,-0.004,0.020,0.891
155,0.020,-0.004,0.895
156,0.000,0.043,1.004
157,0.000,0.059,1.055
158,0.020,0.051,1.035
159,0.039,0.035,0.984
160,0.023,0.016,0.949
161,0.008,-0.016,0.961
162,0.004,-0.016,1.035
163,-0.020,-0.016,1.016
164,0.000,-0.055,0.973
165,0.039,-0.074,0.980
166,0.004,-0.047,1.016
167,0.004,-0.016,1.027
168,0.020,0.016,1.016
169,-0.004,-0.012,0.980
170,0.027,-0.043,0.957
171,-0.059,-0.020,0.949
172,-0.020,0.027,0.996
173,-0.004,0.043,1.051
174,0.027,0.055,1.031
175,0.035,0.055,0.965
176,0.031,0.062,0.941
177,0.023,0.066,0.992
178,0.012,0.066,1.047
179,0.000,0.043,1.008
180,0.023,0.008,0.949
181,0.027,-0.035,0.957
182,0.008,-0.004,1.016
183,0.004,0.004,1.039
184,0.035,-0.016,1.008
185,0.031,-0.027,0.953
186,0.023,-0.023,0.957
187,0.039,-0.105,1.008
188,0.004,-0.098,1.012
189,-0.055,-0.016,0.957
190,-0.016,0.000,0.992
191,0.059,-0.012,1.012
192,0.094,0.043,0.945
193,-0.004,0.082,1.090
194,-0.020,0.051,1.035
195,0.000,0.043,0.953
196,-0.043,0.059,0.984
197,-0.004,0.039,0.969
198,0.035,0.008,0.965
199,0.031,0.027,1.027
200,0.004,0.043,1.035
201,0.012,-0.008,0.965
202,0.023,-0.051,0.953
