Sample,X,Y,Z
0,0.004,0.250,0.980
1,0.012,0.008,0.992
2,0.012,0.012,0.988
3,0.008,0.012,0.984
4,0.012,0.004,0.992
5,0.016,0.004,0.992
6,0.020,0.000,1.000
7,0.008,0.004,0.984
8,0.012,0.012,0.988
9,0.016,0.000,0.996
10,0.020,0.004,1.000
11,0.012,0.012,0.996
12,0.020,0.004,0.996
13,0.016,0.008,0.977
14,0.012,0.004,1.000
15,0.012,0.012,0.992
16,0.016,0.008,0.996
17,0.016,0.000,0.996
18,0.016,0.012,0.984
19,0.012,0.000,1.004
20,0.023,0.008,0.988
21,0.016,0.004,0.996
22,0.016,0.008,0.992
23,0.012,0.008,0.988
24,0.016,0.000,1.008
25,0.031,0.008,1.000
26,0.035,0.004,1.008
27,0.031,0.008,0.992
28,0.027,0.016,0.988
29,0.012,0.004,1.016
30,0.004,0.000,0.992
31,0.020,0.004,0.996
32,0.016,0.004,0.988
33,0.012,0.004,0.992
34,0.020,0.004,0.992
35,0.020,0.012,0.984
36,0.012,0.004,0.988
37,0.020,0.012,0.984
38,0.016,0.004,0.984
39,0.016,0.004,0.996
40,0.016,0.008,0.980
41,0.016,0.008,0.996
42,0.008,0.008,0.992
43,0.023,0.004,0.996
44,0.012,0.004,1.000
45,0.008,0.004,0.992
46,0.020,0.004,0.996
47,0.016,0.008,0.996
48,0.008,0.004,0.996
49,0.016,0.004,1.012
50,0.027,0.008,0.980
51,0.008,0.008,0.953
52,0.000,0.016,1.004
53,0.016,0.008,1.020
54,0.016,0.008,0.992
55,0.012,0.008,0.984
56,0.012,0.012,0.996
57,0.027,-0.023,1.023
58,0.031,-0.109,1.023
59,-0.027,-0.023,0.945
60,-0.012,-0.039,0.965
61,0.160,-0.402,1.145
62,0.043,-0.395,0.996
63,-0.203,-0.203,0.773
64,-0.066,-0.266,0.902
65,0.188,-0.352,1.027
66,0.129,-0.195,1.043
67,-0.043,-0.121,1.141
68,-0.035,-0.230,0.918
69,0.004,-0.141,0.895
70,-0.074,0.070,1.059
71,0.012,0.125,1.047
72,0.145,0.059,0.918
73,0.129,0.172,1.004
74,-0.047,0.277,1.227
75,-0.078,0.184,1.016
76,0.039,-0.062,0.914
77,0.000,-0.047,0.891
78,-0.062,-0.004,0.992
79,0.043,-0.070,1.059
80,0.098,-0.133,1.133
81,0.062,-0.238,0.918
82,0.012,-0.348,0.852
83,-0.043,-0.371,0.926
84,-0.008,-0.359,1.031
85,0.000,-0.281,1.059
86,0.027,-0.234,1.012
87,0.070,-0.180,0.891
88,0.047,-0.047,0.910
89,-0.004,0.102,1.098
90,-0.020,0.172,1.145
91,0.027,0.156,1.000
92,0.043,0.129,0.902
93,0.000,0.117,0.996
94,-0.031,0.090,1.051
95,-0.047,0.070,1.051
96,-0.008,-0.035,0.965
97,0.086,-0.121,0.855
98,0.078,-0.133,0.957
99,0.004,-0.203,1.098
Rate 1372, overflows 0
