Sample,X,Y,Z
0,-0.004,0.008,0.984
1,0.016,0.004,1.000
2,0.012,0.004,0.996
3,0.016,0.008,0.992
4,0.012,0.008,0.996
5,0.012,0.004,0.992
6,0.027,0.000,0.988
7,0.012,0.008,0.992
8,0.020,0.012,0.988
9,0.016,0.008,0.992
10,0.016,0.012,0.996
11,0.020,0.016,0.988
12,0.016,0.008,0.992
13,0.016,0.008,0.992
14,0.016,0.008,0.988
15,0.012,0.000,0.992
16,0.012,0.008,0.988
17,0.023,0.004,0.988
18,0.016,0.012,0.988
19,0.012,0.012,0.984
20,0.012,0.012,0.984
21,0.012,0.004,0.984
22,0.016,0.012,0.988
23,0.020,0.008,0.992
24,0.020,-0.008,1.039
25,-0.008,0.012,1.027
26,0.004,0.012,0.977
27,0.020,0.008,0.949
28,0.016,0.004,1.000
29,0.023,-0.012,0.977
30,0.012,0.008,0.988
31,0.016,0.008,0.988
32,0.012,0.008,0.988
33,0.020,0.012,0.988
34,0.016,0.008,0.992
35,0.020,0.008,1.000
36,0.016,0.008,0.996
37,0.016,0.004,0.992
38,0.016,0.012,0.992
39,0.016,0.008,0.992
40,0.016,0.008,0.980
41,0.020,0.008,0.992
42,0.016,0.008,0.984
43,0.012,0.012,0.992
44,0.012,0.004,1.000
45,0.012,0.004,0.996
46,0.016,0.008,0.992
47,0.012,0.004,0.992
48,-0.004,0.012,1.023
49,0.016,0.004,0.992
50,0.043,-0.004,0.996
51,0.012,0.012,0.965
52,0.031,0.016,1.000
53,0.008,0.008,0.977
54,0.012,0.008,0.980
55,0.016,0.012,0.996
56,0.016,0.008,0.992
57,0.020,0.008,0.992
58,0.016,0.004,0.988
59,0.012,0.008,0.988
60,0.012,0.004,0.988
61,0.023,0.008,0.988
62,0.012,0.004,0.988
63,0.012,0.008,0.992
64,0.016,0.008,0.988
65,0.016,0.008,0.984
66,0.016,0.012,0.988
67,0.020,0.008,0.992
68,0.016,0.004,0.984
69,0.012,0.008,0.996
70,0.012,0.008,0.984
71,0.020,0.008,0.984
72,0.016,-0.004,1.016
73,0.008,-0.004,1.035
74,0.027,-0.004,0.953
75,0.016,0.016,0.984
76,0.027,0.000,1.012
77,0.027,0.000,1.039
78,0.016,0.012,0.996
79,0.012,0.008,0.988
80,0.016,0.012,0.980
81,0.012,0.004,0.988
82,0.016,0.008,0.992
83,0.008,0.000,0.992
84,0.020,0.008,0.988
85,0.016,0.008,0.996
86,0.016,0.004,0.988
87,0.008,0.008,0.988
88,0.012,0.012,0.988
89,0.016,0.004,0.984
90,0.016,0.008,0.996
91,0.016,0.012,1.000
92,0.008,0.004,0.988
93,0.012,0.012,1.000
94,0.016,0.004,0.984
95,0.012,0.008,0.992
96,-0.023,-0.004,1.020
97,0.039,0.008,1.023
98,0.016,0.000,0.965
99,0.012,0.020,0.949
Rate 1372, overflows 0
