Sample,X,Y,Z
0,0.008,0.254,0.977
1,0.012,0.004,0.988
2,0.016,0.012,0.980
3,0.012,0.012,0.988
4,0.004,0.012,0.988
5,0.008,0.016,0.992
6,0.008,0.012,0.977
7,0.008,0.004,0.984
8,0.008,0.012,0.992
9,0.012,0.008,0.977
10,0.012,0.012,0.973
11,0.008,0.008,0.992
12,0.008,0.004,0.988
13,0.020,0.012,0.992
14,0.016,0.004,0.984
15,0.008,0.004,0.988
16,0.008,0.008,0.980
17,0.008,0.000,1.000
18,0.016,0.008,0.984
19,0.000,0.004,0.984
20,0.012,0.012,0.980
21,0.008,0.008,0.992
22,0.012,0.004,0.988
23,0.020,0.008,0.988
24,0.016,0.016,0.992
25,0.023,0.012,0.949
26,0.004,0.008,0.988
27,0.020,0.016,1.031
28,0.020,0.012,0.992
29,-0.012,0.016,1.012
30,0.012,0.004,0.977
31,0.012,0.012,0.988
32,0.020,0.004,1.004
33,0.012,0.004,0.984
34,0.008,0.012,0.988
35,0.008,0.008,0.988
36,0.016,0.008,0.988
37,0.012,0.008,0.984
38,0.008,0.012,0.984
39,0.016,0.008,0.980
40,0.012,0.016,0.996
41,0.016,0.004,0.988
42,0.012,0.004,0.984
43,0.012,0.008,0.988
44,0.008,0.016,0.977
45,0.004,0.008,0.980
46,0.016,0.008,0.992
47,0.016,0.008,0.984
48,0.008,0.012,0.969
49,0.020,0.008,0.941
50,-0.008,0.012,1.031
51,0.012,0.004,1.008
52,0.016,0.012,0.945
53,0.023,0.000,0.938
54,0.016,0.008,0.988
55,0.016,0.008,0.992
56,0.020,0.008,0.980
57,0.016,0.004,0.992
58,0.020,0.012,0.988
59,0.016,0.008,0.980
60,0.008,0.004,0.988
61,0.008,0.000,1.004
62,0.016,0.000,0.969
63,0.016,0.016,0.988
64,0.016,0.012,0.988
65,0.020,0.008,0.984
66,0.004,0.008,0.984
67,0.012,0.012,0.988
68,0.012,0.012,0.973
69,0.023,0.008,0.992
70,0.016,0.004,0.988
71,0.008,0.012,0.996
72,0.031,0.000,0.977
73,0.016,0.004,1.000
74,0.023,0.016,1.004
75,0.000,0.008,0.996
76,0.008,0.012,0.965
77,0.031,0.023,1.016
78,0.023,0.027,1.000
79,0.016,0.012,1.008
80,-0.004,-0.016,0.988
81,-0.016,0.023,1.000
82,0.023,0.012,0.949
83,0.027,0.000,0.984
84,0.016,0.012,1.020
85,0.035,0.016,0.988
86,0.008,-0.023,1.004
87,-0.016,0.016,0.980
88,0.074,-0.117,1.039
89,0.047,-0.258,0.922
90,-0.070,-0.035,0.887
91,-0.133,0.098,0.863
92,0.164,0.004,1.082
93,0.258,-0.078,1.117
94,-0.035,0.125,0.992
95,-0.160,0.160,0.977
96,0.012,-0.055,0.953
97,0.066,-0.051,1.047
98,-0.070,0.129,1.035
99,-0.039,0.113,0.922
100,0.172,-0.004,0.969
101,0.082,0.082,1.074
102,-0.074,0.141,1.105
103,-0.047,-0.086,0.930
104,0.023,-0.242,0.879
105,-0.066,-0.078,0.977
106,-0.102,0.051,1.062
