Sample,X,Y,Z
0,-0.023,0.250,0.961
1,0.012,0.016,0.977
2,0.012,0.000,0.992
3,0.020,0.004,0.988
4,0.016,0.004,0.988
5,0.008,0.012,0.996
6,0.016,0.012,0.984
7,0.016,0.004,0.992
8,0.016,0.012,0.988
9,0.012,0.004,0.996
10,0.016,0.008,0.984
11,0.016,0.012,0.996
12,0.012,0.012,0.984
13,0.016,0.008,0.992
14,0.020,0.004,0.996
15,0.012,0.008,1.008
16,0.016,0.008,0.984
17,0.016,0.004,0.992
18,0.008,0.004,0.988
19,0.012,0.004,0.988
20,0.012,0.008,0.988
21,0.016,0.008,0.992
22,0.012,0.008,0.977
23,0.023,0.012,1.000
24,0.004,0.008,0.980
25,0.031,0.004,0.984
26,0.023,0.004,1.012
27,0.031,0.008,0.984
28,0.000,0.016,0.977
29,0.020,0.008,0.977
30,0.020,0.004,0.988
31,0.016,0.004,1.004
32,0.012,0.008,0.984
33,0.020,0.008,1.000
34,0.004,0.008,0.984
35,0.016,0.004,0.992
36,0.012,0.008,0.980
37,0.008,0.012,0.988
38,0.016,0.004,0.988
39,0.012,0.008,1.000
40,0.012,0.016,0.980
41,0.016,0.008,0.996
42,0.016,0.008,0.988
43,0.016,0.000,0.992
44,0.008,0.012,0.988
45,0.008,0.008,0.984
46,0.016,0.004,0.988
47,0.016,0.000,0.992
48,0.000,0.004,1.070
49,-0.004,0.004,0.969
50,0.031,0.000,1.008
51,0.031,0.020,0.941
52,-0.004,0.000,1.023
53,0.012,0.008,0.992
54,0.016,0.004,0.996
55,0.012,0.008,1.000
56,0.023,0.000,0.992
57,0.023,0.004,0.988
58,0.008,0.012,1.000
59,0.008,0.016,0.973
60,0.023,0.004,1.008
61,0.035,-0.035,1.027
62,0.105,-0.285,1.109
63,-0.051,-0.289,0.961
64,-0.180,-0.148,0.840
65,-0.031,-0.176,0.875
66,0.238,-0.285,1.055
67,0.184,-0.246,1.070
68,-0.031,-0.184,1.086
69,-0.129,-0.250,0.922
70,-0.008,-0.285,0.887
71,0.000,-0.176,1.004
72,0.039,-0.051,1.105
73,0.059,-0.031,1.027
74,0.102,0.047,1.008
75,-0.031,0.164,1.117
76,-0.027,0.125,1.020
77,0.008,-0.051,0.898
78,-0.023,-0.008,0.895
79,-0.062,0.066,0.996
80,0.020,0.035,1.125
81,0.062,0.000,1.078
82,0.094,-0.105,0.875
83,0.055,-0.215,0.836
84,-0.031,-0.207,1.000
85,-0.016,-0.219,1.074
86,0.004,-0.250,1.043
87,0.047,-0.258,0.930
88,0.062,-0.246,0.898
89,0.000,-0.113,0.977
90,-0.008,-0.020,1.109
91,0.027,-0.016,1.102
92,0.039,-0.004,0.957
93,0.012,0.027,0.902
94,-0.012,0.000,0.977
95,-0.016,-0.027,1.094
96,-0.078,0.004,1.145
97,0.000,-0.027,0.949
98,0.105,-0.105,0.812
99,0.062,-0.031,0.969
100,0.051,0.008,1.102
101,0.031,-0.090,1.059
102,0.043,-0.199,0.984
103,0.027,-0.277,0.930
104,-0.051,-0.258,0.914
105,-0.051,-0.184,0.945
106,0.039,-0.117,0.977
107,0.102,-0.012,0.961
108,0.125,0.027,0.984
109,0.031,0.016,1.078
110,-0.086,0.012,1.078
111,-0.113,-0.059,1.055
112,-0.062,-0.117,1.008
113,0.008,-0.094,0.965
114,0.035,-0.020,0.980
115,0.082,0.012,0.988
116,0.102,-0.004,0.988
117,0.098,-0.113,1.023
118,0.016,-0.246,0.973
119,-0.102,-0.301,0.965
120,-0.180,-0.188,0.898
121,-0.016,-0.070,1.074
122,0.164,0.000,1.023
123,0.215,0.059,1.102
124,0.125,0.012,1.039
125,-0.070,-0.070,1.070
126,-0.168,-0.148,0.887
127,-0.145,-0.105,0.855
128,0.020,-0.121,0.988
129,0.145,-0.109,1.086
130,0.105,-0.090,1.145
131,-0.023,-0.020,1.004
132,-0.094,0.098,0.793
133,0.035,0.062,0.828
134,0.152,-0.016,1.070
135,0.113,-0.094,1.195
136,-0.066,-0.156,1.227
137,-0.180,-0.191,1.031
138,-0.129,-0.086,0.758
139,0.152,-0.086,0.723
140,0.332,-0.297,1.168
141,0.051,-0.121,1.137
142,-0.188,0.035,0.887
143,-0.199,0.008,0.801
144,0.145,-0.238,1.008
145,0.199,-0.273,1.133
146,-0.160,-0.070,1.250
147,-0.160,-0.090,0.922
148,0.027,-0.020,0.723
149,0.312,0.105,1.012
150,0.211,0.012,1.094
151,0.008,0.027,0.957
152,-0.211,0.086,0.922
153,-0.137,-0.020,1.094
154,0.164,-0.367,1.402
155,-0.086,-0.238,0.957
156,-0.215,-0.113,0.691
157,0.043,-0.168,0.617
158,0.312,-0.020,0.938
159,0.223,0.098,1.441
160,-0.035,0.051,1.305
161,0.023,-0.328,0.547
162,-0.117,-0.473,0.691
163,-0.262,-0.203,1.281
164,-0.141,-0.004,1.211
165,0.168,-0.047,1.094
166,0.387,-0.027,0.848
